Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2024-01-02,183.5621795654297,186.33084291740326,181.83176685644636,185.0552730997862,82488700
2024-01-03,182.18775939941406,183.79952025374087,181.37693010719954,182.15809638511382,58414500
2024-01-04,179.87393188476562,181.04071720671112,178.85546161628733,180.11123597031312,71983600
2024-01-05,179.152099609375,180.7144169560074,178.15340966673114,179.95304619735901,62379700
2024-01-08,183.4830780029297,183.52263874374273,179.46852282651062,180.0519155054874,59144500
2024-01-09,183.06781005859375,183.07769270137814,180.68478049118508,181.8614637667107,42841800
2024-01-10,184.10601806640625,184.31365913260458,181.8614214601624,182.28661640904596,46792900
2024-01-11,183.5127410888672,184.9564063690912,181.5647895230864,184.4521049955326,49128400
2024-01-12,183.83905029296875,184.64987951630312,183.11722519297732,183.97748271061099,40477800
2024-01-16,181.57469177246094,182.1976301200088,178.90489995610474,180.12114381484557,65603000
2024-01-17,180.63531494140625,180.8825167727283,178.281963767062,179.24110807963172,47317400
2024-01-18,186.5187225341797,187.02300881659582,183.75005912545993,184.0071435872404,78005800
2024-01-19,189.41592407226562,189.80155831594578,186.70660172518024,187.21088801676132,68903000
2024-01-22,191.7198486328125,193.14373357255337,190.10808789018887,190.14764863184953,60133900
2024-01-23,192.9954071044922,193.55903452389106,191.66052626402544,192.83720939883855,42355600
2024-01-24,192.32302856445312,194.18199120084623,192.16481576816378,193.23272951111284,53631300
2024-01-25,191.99671936035156,194.07322080915367,190.94858599423335,193.03497008475262,54822100
2024-01-26,190.26629638671875,192.58010181757646,189.7916731135176,192.09559590318426,44594000
2024-01-29,189.5840301513672,190.04877081575225,187.45810037105477,189.86089500402176,47145600
2024-01-30,185.93533325195312,189.65325866018404,185.37172089064353,188.80288370915284,55859400
2024-01-31,182.33604431152344,185.0058358609704,182.28661602120093,184.94649475418208,55467800
2024-02-01,184.76852416992188,184.857513201702,181.7625567551165,181.93065217781273,64885400
2024-02-02,183.7698516845703,185.23328233515724,177.2437171517322,177.84689023760967,102551700
2024-02-05,185.579345703125,187.1317803970082,183.75994390321247,186.0440863383638,69668800
2024-02-06,187.18125915527344,187.19114179840088,184.67957743559268,184.7685664877541,43490800
2024-02-07,187.2899932861328,188.91163664571195,186.49894443287428,188.50622203381667,53439000
2024-02-08,186.21218872070312,187.41851968576853,185.25304448034683,187.27020463334281,40962000
2024-02-09,186.97454833984375,188.10322646586073,186.13298359451971,186.77652244170517,45155200
2024-02-12,185.29141235351562,186.796321504533,184.9349868995182,186.54880424779185,41781900
2024-02-13,183.20236206054688,184.360756090923,181.68755769129083,183.92512331150874,56529500
2024-02-14,182.3212127685547,183.6875129162611,180.62820312290157,183.4796068721132,54630500
2024-02-15,182.03408813476562,182.65783644316613,179.5490203671251,181.72716915991907,65434500
2024-02-16,180.49948120117188,183.0142649801448,179.86583763061847,181.59845842120637,49752500
2024-02-20,179.75694274902344,180.6182980286837,178.2124373755958,179.98465441119404,53665600
2024-02-21,180.50941467285156,181.07374623255754,178.8658962581704,180.13318356154335,41371400
2024-02-22,182.53900146484375,183.12315360761588,180.64798131414128,181.65784073265692,52292200
2024-02-23,180.70742797851562,183.2023913936763,180.42029946099493,183.17269052734747,45119700
2024-02-26,179.3609161376953,180.9450175834942,178.85597124394113,180.43019254491847,40867400
2024-02-27,180.81629943847656,182.09348175278842,177.77678047240937,179.3014951345761,54318900
2024-02-28,179.61831665039062,181.30143093346823,178.34113428414614,180.69748823755316,48953900
2024-02-29,178.9549560546875,180.75688872813024,177.74707077204522,179.46979611956436,136682600
2024-03-01,177.8758087158203,178.73716395290236,175.61845249589473,177.76690051629518,73563100
2024-03-04,173.361083984375,175.14319605787904,172.06408093389737,174.40064432483445,81510100
2024-03-05,168.43055725097656,170.33148818677603,167.93552268101038,169.06420089624305,95132400
2024-03-06,167.4404754638672,169.53943215491887,167.00484265804033,169.36121186741923,68587700
2024-03-07,167.32167053222656,169.0344857697736,166.81674075207243,167.47017484778516,71765100
2024-03-08,169.03448486328125,171.9749911536114,167.26226790901475,167.32166963491963,76267000
2024-03-11,171.034423828125,172.64824117092596,170.34137853305091,171.22253935977105,60139500
2024-03-12,171.50967407226562,172.30173241116674,169.31171935776177,171.43046672764987,59825400
2024-03-13,169.4305419921875,171.4700820663792,169.06420612614593,171.05425482761498,52488700
2024-03-14,171.28195190429688,172.57893998999515,170.34138929390355,171.19284931228447,72913500
2024-03-15,170.9057159423828,170.9057159423828,168.59885322457814,169.47011882986195,121752700
2024-03-18,171.9948272705078,175.9452089236444,171.79681644661977,173.82646138280157,75604200
2024-03-19,174.3313751220703,174.8561105550952,171.31166123855039,172.6086493883763,55215200
2024-03-20,176.89564514160156,176.89564514160156,173.35119593354977,173.97494430389506,53423100
2024-03-21,169.66812133789062,175.72735394947048,169.14338597139206,175.29172116809335,106181300
2024-03-22,170.569091796875,171.33144918231721,168.37113733503185,170.05425166968308,71160100
2024-03-25,169.1533203125,170.23249206020807,167.76721443821097,168.87610215909345,54288300
2024-03-26,168.0246124267578,169.71762191427138,167.89589862566189,168.3117257823714,57388400
2024-03-27,171.5888671875,171.87599567632833,168.42064920188324,168.71767294274684,60273300
2024-03-28,169.77706909179688,170.51962102200082,168.8167007201525,170.04439201670246,65672700
2024-04-01,168.34144592285156,169.54933141950085,167.79690490268092,169.48992969134684,46240500
2024-04-02,167.1632537841797,167.65828830624176,166.55931106297376,167.40087579338118,49329500
2024-04-03,167.9652099609375,168.98497988400436,166.90584392266877,167.11374996517486,47691700
2024-04-04,167.1434783935547,170.2126836435028,167.1434783935547,168.59886612133832,53704400
2024-04-05,167.89590454101562,168.69785802201392,167.27215623034843,167.90579979250484,42104800
2024-04-08,166.77713012695312,167.51968192191484,166.5692240844266,167.3513719945941,37425500
2024-04-09,167.98501586914062,168.39094781013864,166.67813256359855,167.02464767080627,42373800
2024-04-10,166.11380004882812,167.41078821247058,165.45045553411236,167.1236748074244,49709300
2024-04-11,173.30169677734375,173.7175391133101,166.49003132152566,166.66823651643443,91070300
2024-04-12,174.79669189453125,176.5887144383463,172.47993396851362,172.52942533467058,101670900
2024-04-15,170.97503662109375,174.8759113224836,170.7869210734751,173.61851932570818,73531800
2024-04-16,167.69790649414062,172.0343988146065,166.59892920522176,170.04436539186383,73711200
2024-04-17,166.33160400390625,168.95528100035153,166.33160400390625,167.9256158132339,50901200
2024-04-18,165.38113403320312,166.96525061902096,164.89600984807865,166.36130787024413,43122900
2024-04-19,163.3614044189453,164.7474951408098,162.4505426435407,164.55939469854349,68149400
2024-04-22,164.19305419921875,165.59895049362888,163.1336881290828,163.87623994630854,48116400
2024-04-23,165.24253845214844,165.39105789202225,163.2822057253187,163.70794332424896,49537800
2024-04-24,167.3414764404297,167.6186945681344,164.55938480415762,164.88609429896647,48251800
2024-04-25,168.20281982421875,168.91567070440144,166.48009434590165,167.84639438412742,50558300
2024-04-26,167.61868286132812,169.63841695172266,167.49986430971396,168.19292468782604,44838400
2024-04-29,171.7769775390625,174.28185098854456,171.38095596804143,171.64826373021612,68169400
2024-04-30,168.6384735107422,173.2521991943247,168.31174889120035,171.60868084411632,65934800
2024-05-01,167.61868286132812,170.9948217396029,167.43056733625505,167.8959009696714,50383100
2024-05-02,171.3116455078125,171.69777183075684,169.19289835753364,170.79680537480178,94214900
2024-05-03,181.5588836669922,185.14292911827533,180.84603267784937,184.7963988764884,163224100
2024-05-06,179.9054412841797,182.37070337959045,178.62824383792136,180.5390848280799,78569700
2024-05-07,180.5885772705078,183.0637497391675,179.5193160584302,181.62815272879564,77305800
2024-05-08,180.92520141601562,181.25192597526086,179.64800403830677,181.0341096024307,45057100
2024-05-09,182.73703002929688,182.82613260743545,180.30145380940453,180.74698180735047,48983000
2024-05-10,181.47796630859375,183.50044009541958,180.56586910059414,183.31206939842306,50759500
2024-05-13,184.68020629882812,185.4931713127623,183.03445892506747,183.84742393900163,72044800
2024-05-14,185.82029724121094,186.68283575150448,184.690088450104,185.89961199662545,52393600
2024-05-15,188.09066772460938,189.0126735344407,185.76084369802737,186.29621459797372,70400000
2024-05-16,188.20962524414062,189.45881387860598,188.03117836935675,188.83421956137332,52845200
2024-05-17,188.2393798828125,189.1713095252472,187.55530322495105,187.8824709799172,41282900
2024-05-20,189.3993377685547,190.2717851507536,187.38677266186554,187.70403175639103,44361300
2024-05-21,190.69810485839844,191.07483113273048,189.2803778274553,189.44891605266244,42309400
2024-05-22,189.2605438232422,191.16406816634918,188.63596455316463,190.6187885434668,34648500
2024-05-23,185.2750701904297,189.35968258649532,185.02721720275102,189.3398501117122,51005900
2024-05-24,188.34844970703125,188.94330296502375,186.4251079843019,187.1984232707908,36327000
2024-05-28,188.3583526611328,191.34249703943843,187.47599667367734,189.86528785982966,52280100
2024-05-29,188.65577697753906,190.59895109353056,187.8824768517226,187.98162409974876,53068000
2024-05-30,189.647216796875,190.52957297399752,188.99289629815092,189.12176958621487,49889100
2024-05-31,190.59893798828125,190.9161970579539,188.2790377703441,189.79589676882185,75158300
2024-06-03,192.36366271972656,193.31542486412093,190.86663609575578,191.24336235629542,50080500
2024-06-04,192.680908203125,193.64257895328527,191.37223723797064,192.96841099700254,47471400
2024-06-05,194.18785095214844,195.20900403542353,193.19643901671662,193.72188613227584,54156800
2024-06-06,192.80979919433594,194.8124556459051,192.5024638984892,194.0094143560484,41181800
2024-06-07,195.19908142089844,195.2486550396786,192.4726987931798,192.9783133981505,53103900
2024-06-10,191.46145629882812,195.60556579928584,190.49978557066368,195.20899197297106,97010200
